System Name,Galaxy Name,R.A.(J2000),Decl.(J2000),log(LIR),fν(FUV),σFUV,fν(NUV),σNUV
Arp299,IC0694,11h28m33.s67,+58◦33′46.′′1,11.41,3.59E-14,4.E-16,2.30E-14,1.E-16
ESO440-IG058,ESO440-IG058NED01,12h06m51.s70,−31◦56′46.′′4,10.54,1.63E-15,2.E-16,2.43E-15,9.E-17
ESO440-IG058,ESO440-IG058NED02,12h06m51.s87,−31◦56′59.′′2,11.37,6.34E-16,9.E-17,1.05E-15,4.E-17
SGC1211-470,ESO267-G029,12h13m52.s28,−47◦16′25.′′4,11.18,5.66E-15,5.E-16,4.23E-15,9.E-16
SGC1211-470,ESO267-G030,12h14m12.s81,−47◦13′42.′′5,11.23,2.29E-15,4.E-16,2.23E-15,8.E-16
NGC4922,NGC4922NED01,13h01m24.s51,+29◦18′29.′′8,8.87,3.55E-16,1.E-17,8.25E-16,6.E-18
NGC4922,NGC4922NED02,13h01m25.s27,+29◦18′49.′′5,11.38,1.04E-15,3.E-17,1.37E-15,1.E-17
MCG-02-33-098-9,MCG-02-33-098,13h02m19.s66,−15◦46′04.′′2,11.00,1.39E-15,9.E-17,3.22E-15,7.E-17
MCG-02-33-098-9,MCG-02-33-099,13h02m20.s38,−15◦45′59.′′6,10.66,4.11E-15,3.E-16,3.89E-15,8.E-17
VV250,VV250b,13h15m30.s69,+62◦07′45.′′8,...,2.92E-15,1.E-16,2.80E-15,4.E-17
VV250,VV250a,13h15m34.s96,+62◦07′29.′′2,...,5.74E-15,3.E-16,6.06E-15,1.E-16
NGC5256,MRK266B,13h38m17.s25,+48◦16′32.′′9,11.37,4.38E-15,2.E-16,4.00E-15,7.E-17
NGC5256,MRK266A,13h38m17.s79,+48◦16′41.′′6,11.11,5.80E-15,2.E-16,5.45E-15,9.E-17
Arp240,NGC5257,13h39m52.s95,+00◦50′25.′′9,11.31,1.10E-14,4.E-16,9.63E-15,4.E-16
Arp240,NGC5258,13h39m57.s72,+00◦49′53.′′0,11.32,2.84E-14,6.E-16,2.11E-14,5.E-16
NGC5331,NGC5331NED01,13h52m16.s21,+02◦06′05.′′1,11.54,1.32E-15,2.E-17,1.59E-15,6.E-18
NGC5331,NGC5331NED02,13h52m16.s43,+02◦06′30.′′9,11.02,3.89E-15,5.E-17,3.64E-15,1.E-17
GOALSJ144510.0-205331,NGC5734,14h45m09.s04,−20◦52′13.′′2,11.04,2.64E-15,3.E-16,4.03E-15,7.E-16
GOALSJ144510.0-205331,NGC5743,14h45m11.s02,−20◦54′48.′′6,10.86,1.06E-14,4.E-16,9.61E-15,7.E-16
VV340,VV340b,14h57m00.s32,+24◦36′24.′′6,10.83,3.48E-15,4.E-17,2.96E-15,1.E-17
VV340,VV340a,14h57m00.s70,+24◦37′05.′′8,11.69,1.02E-15,2.E-17,8.53E-16,6.E-18
Arp293,NGC6285,16h58m23.s99,+58◦57′21.′′7,10.72,3.80E-15,2.E-16,3.47E-15,3.E-16
Arp293,NGC6286,16h58m31.s63,+58◦56′13.′′3,11.36,3.52E-15,2.E-16,2.99E-15,3.E-16
UGC11175,NGC6621,18h12m55.s39,+68◦21′48.′′2,11.28,1.86E-15,9.E-17,2.93E-15,5.E-17
UGC11175,NGC6621SE,18h12m58.s52,+68◦21′29.′′4,9.52,3.63E-15,2.E-16,2.73E-15,5.E-17
UGC11175,NGC6622,18h12m59.s68,+68◦21′15.′′1,9.23,1.48E-16,7.E-18,4.79E-16,9.E-18
KTS57,IC4686,18h13m38.s77,−57◦43′57.′′3,11.02,1.13E-14,3.E-16,1.08E-14,1.E-16
KTS57,IC4687,18h13m39.s80,−57◦43′30.′′7,11.32,4.11E-15,1.E-16,3.52E-15,4.E-17
KTS57,IC4689,18h13m40.s38,−57◦44′54.′′3,11.02,1.92E-15,2.E-16,1.51E-15,4.E-16
NGC6670AB,NGC6670B,18h33m32.s78,+59◦53′11.′′7,11.32,7.77E-16,2.E-17,8.71E-16,9.E-18
NGC6670AB,NGC6670A,18h33m37.s67,+59◦53′21.′′3,11.38,1.86E-15,3.E-17,1.73E-15,1.E-17
ESO343-IG013,ESO343-IG013NED01,21h36m10.s53,−38◦32′42.′′8,10.60,2.63E-15,2.E-16,2.76E-15,9.E-17
ESO343-IG013,ESO343-IG013NED02,21h36m10.s93,−38◦32′33.′′0,10.99,1.32E-15,1.E-16,1.49E-15,5.E-17
Arp298,NGC7469,23h03m15.s64,+08◦52′25.′′5,11.58,4.32E-14,1.E-16,3.11E-14,1.E-16
Arp298,IC5283,23h03m18.s04,+08◦53′36.′′5,10.79,1.77E-15,3.E-17,1.76E-15,5.E-17
NGC7592,NGC7592A,23h18m21.s78,−04◦24′57.′′0,11.17,2.35E-15,6.E-17,1.66E-15,2.E-17
NGC7592,NGC7592B,23h18m22.s60,−04◦24′58.′′0,11.01,2.09E-14,5.E-16,1.21E-14,2.E-16
ESO077-IG014,ESO077-IG014NED01,23h21m03.s73,−69◦13′01.′′0,11.33,5.08E-16,4.E-17,8.42E-16,9.E-18
ESO077-IG014,ESO077-IG014NED02,23h21m05.s45,−69◦12′47.′′3,11.56,2.64E-17,2.E-18,1.91E-16,2.E-18
Arp182,NGC7674,23h27m56.s71,+08◦46′44.′′3,11.55,1.30E-14,1.E-16,9.96E-15,4.E-17
Arp182,NGC7674A,23h27m58.s77,+08◦46′57.′′9,10.01,1.23E-15,1.E-17,1.64E-15,6.E-18
GOALSJ2341454-033944,MRK933,23h41m43.s69,−03◦39′26.′′5,10.17,3.02E-15,6.E-17,2.88E-15,9.E-17
GOALSJ2341454-033944,MCG-01-60-021,23h41m47.s33,−03◦40′01.′′7,10.43,3.58E-16,3.E-17,...,...
GOALSJ2341454-033944,MCG-01-60-022,23h42m00.s91,−03◦36′54.′′4,11.15,7.99E-15,1.E-16,6.20E-15,2.E-16
KTG82,NGC7769,23h51m03.s91,+20◦09′01.′′7,10.74,3.39E-14,8.E-17,2.35E-14,6.E-17
KTG82,NGC7770,23h51m22.s55,+20◦05′49.′′2,10.67,1.07E-14,4.E-17,7.63E-15,3.E-17
KTG82,NGC7771,23h51m24.s80,+20◦06′42.′′2,11.17,5.13E-15,3.E-17,6.39E-15,3.E-17
