System,log(LFUV),β(GALEX),σβ(GALEX),IRX,σIRX,Mass,SFR,SSFR,IR/UV
VV705,9.86,−0.559,0.152,2.061,0.025,1.56E+11,147.81,9.48E-10,52.9
IRASF15250+3608,9.82,−0.169,0.191,2.264,0.034,6.08E+10,211.11,3.47E-09,77.0
NGC5936,9.69,−0.398,0.064,1.450,0.011,9.68E+10,25.23,2.61E-10,12.5
UGC09913,8.85,0.997,0.329,3.423,0.038,1.16E+11,327.74,2.82E-09,813.3
NGC5990,9.32,−0.190,0.106,1.817,0.018,1.42E+11,[24.19],[1.70E-10],27.7
NGC6052,10.01,−0.755,0.050,1.080,0.009,4.76E+10,24.09,5.06E-10,5.8
NGC6090,10.26,−0.176,0.017,1.325,0.003,2.24E+11,71.10,3.17E-10,8.9
IRASF16164-0746,9.05,−0.431,0.161,2.573,0.028,7.34E+10,72.75,9.91E-10,167.0
CGCG052-037,8.97,0.430,0.352,2.475,0.061,1.18E+11,48.75,4.13E-10,107.3
NGC6240,9.59,0.003,0.168,2.336,0.031,3.90E+11,[148.44],[3.81E-10],87.1
NGC6286,9.39,−0.298,0.114,1.976,0.019,1.64E+11,41.26,2.51E-10,41.0
IRASF17132+5313,9.53,0.364,0.073,2.435,0.013,1.72E+11,159.67,9.28E-10,99.8
IRASF17207-0014,7.31,4.576,8.665,5.154,1.574,1.52E+11,501.22,3.29E-09,12840.8
UGC11041,9.11,−0.559,0.174,2.000,0.029,7.92E+10,22.85,2.89E-10,45.9
CGCG141-034,8.60,−1.561,0.773,2.597,0.117,5.60E+10,27.39,4.89E-10,222.8
NGC6621,9.36,0.203,0.126,1.930,0.021,1.55E+11,34.28,2.21E-10,32.5
IC4687,9.73,−0.465,0.065,1.895,0.011,1.60E+11,74.70,4.66E-10,35.3
NGC6670AB,9.36,0.177,0.049,2.290,0.008,1.90E+11,78.26,4.12E-10,74.9
IC4734,9.30,−0.696,0.141,2.045,0.023,9.10E+10,39.30,4.32E-10,52.6
ESO593-IG008,9.72,1.894,0.439,2.209,0.080,3.53E+11,150.38,4.26E-10,42.9
IRASF19297-0406,8.05,0.433,1.073,4.401,0.179,1.72E+11,494.79,2.88E-09,9041.1
ESO339-G011,8.88,0.764,0.380,2.322,0.066,1.03E+11,[27.62],[2.69E-10],68.9
NGC6907,9.98,−0.622,0.009,1.134,0.001,1.54E+11,25.24,1.64E-10,6.3
NGC6926,9.71,−0.757,0.090,1.609,0.015,1.95E+11,[37.50],[1.92E-10],19.5
CGCG448-020,10.28,−1.134,0.099,1.662,0.016,1.34E+11,156.77,1.17E-09,23.9
ESO286-IG019,9.95,−0.206,0.027,2.108,0.005,1.13E+11,203.56,1.80E-09,54.3
ESO286-G035,9.09,0.196,0.176,2.102,0.030,5.84E+10,27.58,4.72E-10,48.4
ESO343-IG013,9.12,0.173,0.214,2.014,0.036,6.75E+10,24.22,3.59E-10,39.8
NGC7130,9.71,0.327,0.017,1.712,0.003,1.45E+11,[46.88],[3.23E-10],19.1
IC5179,9.62,−0.137,0.058,1.619,0.010,1.23E+11,31.01,2.52E-10,17.3
ESO602-G025,9.30,−0.169,0.264,2.037,0.044,1.37E+11,38.38,2.80E-10,45.6
UGC12150,7.59,5.341,5.742,3.760,1.043,1.10E+11,38.87,3.55E-10,386.2
IRASF22491-1808,10.00,0.176,0.076,2.198,0.013,2.27E+11,279.16,1.23E-09,60.7
NGC7469,10.02,−0.748,0.008,1.632,0.001,2.39E+11,[80.26],[3.35E-10],20.6
CGCG453-062,8.61,1.285,0.659,2.768,0.116,8.99E+10,41.52,4.62E-10,165.3
ESO148-IG002,10.01,−0.282,0.025,2.054,0.004,1.06E+11,204.60,1.94E-09,48.8
IC5298,9.15,−0.553,0.312,2.451,0.051,1.29E+11,69.67,5.38E-10,129.7
NGC7552,9.32,0.403,0.005,1.793,0.001,7.62E+10,[22.98],[3.01E-10],22.5
NGC7592,10.07,−1.240,0.067,1.332,0.011,1.13E+11,[47.03],[4.15E-10],11.4
ESO077-IG014,8.90,1.576,0.211,2.856,0.038,1.77E+11,100.48,5.68E-10,185.3
NGC7674,10.00,−0.489,0.022,1.560,0.004,3.03E+11,[65.76],[2.17E-10],16.4
IRASF23365+3604,9.33,3.515,0.183,2.872,0.033,1.41E+11,276.72,1.96E-09,99.8
MCG-01-60-022,9.52,−0.671,0.031,1.752,0.005,2.08E+11,33.35,1.61E-10,26.6
Arp86,9.40,−0.263,0.030,1.667,0.005,2.84E+11,21.21,7.47E-11,19.9
NGC7771,9.78,−0.880,0.006,1.621,0.001,4.00E+11,45.12,1.13E-10,20.6
MRK0331,8.92,0.129,0.094,2.575,0.016,8.23E+10,55.14,6.70E-10,146.4
