IRAS FSC ,Common name,hh,mm,ss.s,deg,arcmin,arcsec,Tel,z,Log(LIR) ( L_sol),Log(M_*) M_sol,Log(M_H2) M_sol,Ref
F14547+2449,VV340a,14,57,0.7,24,37,3,HST,0.034,11.79,10.83,L,L
F15107+0724,CGCG049-057,15,13,13.1,7,13,32,UH,0.013,11.33,10.02,9.53,6
F15163+4255,VV705,15,18,6.3,42,44,41,HST,0.04,11.88,10.86,10.33,6
F15250+3608,IRASF15250,15,26,59.4,35,58,38,HST,0.055,12.07,10.61,L,L
F15327+2340,UGC09913,15,34,57.1,23,30,11,HST,0.018,12.24,10.81,10.34,6
F16104+5235,NGC6090,16,11,40.7,52,27,24,HST,0.029,11.55,10.73,10.21,2
F16284+0411,CGCG052-037,16,30,56.5,4,4,58,UH,0.024,11.45,10.72,L,L
F16577+5900,NGC6286,16,58,31.4,58,56,10,UH,0.018,11.42,10.76,10.03,2
F17132+5313,IRASF17132,17,14,20,53,10,30,HST,0.051,11.92,10.89,10.61,2
F22287-1917,ESO602-G025,22,31,25.5,?19,2,4,UH,0.025,11.34,10.82,L,L
F22491-1808,IRASF22491,22,51,49.3,?17,52,23,HST,0.078,12.19,10.71,10.49,6
F23007+0836,NGC7469,23,3,15.6,8,52,26,HST,0.016,11.58,11.05,10.31,1
F23024+1916,CGCG453-062,23,4,56.5,19,33,8,UH,0.025,11.37,10.62,L,L
F23135+2517,IC5298,23,16,0.7,25,33,24,HST,0.027,11.53,10.76,9.95,6
F23157-0441,NGC7592,23,18,22.2,?04,24,58,UH,0.024,11.39,10.73,10.34,6
F23254+0830,NGC7674,23,27,56.7,8,46,45,HST,0.029,11.51,11.17,10.12,1
F23488+1949,NGC7771,23,51,24.9,20,6,43,UH,0.014,11.35,11.08,10.01,2
F23488+2018,MRK0331,23,51,26.8,20,35,10,HST,0.018,11.5,9.67,L,L
